Group,YLD,TGW,GM2,BM,HI,Height
Exotic-der,450.662905,35.4049206,12636.19262,998.1595619,0.446,75.30690923
Elite,214.9383133,28.15965505,7450.497036,444.6967036,0.47025,49.23820739
Elite,296.8605132,27.00917599,10760.57507,661.1453485,0.44825,60.59373635
Elite,360.0275722,31.35715556,11427.50308,780.5187952,0.462,61.05396819
Exotic-der,211.1737398,30.90716458,6462.125252,472.8062477,0.45175,54.37713367
Elite,235.4395424,30.69512229,7475.843588,491.1034334,0.47,56.10414298
Elite,154.4604288,34.93823665,4376.887065,361.2456212,0.4225,60.84052315
Elite,182.7820549,29.74892448,6170.121298,422.56702,0.44775,57.14086332
Elite,273.5387435,37.21903438,7417.39886,571.0612819,0.48325,63.34166726
Elite,172.8906224,31.41193912,5214.087859,344.7733508,0.4735,60.38634401
Elite,191.5248744,24.31750304,7486.454158,392.1664358,0.46425,46.80860266
Elite,250.203849,30.63492771,7551.638035,493.37175,0.47925,59.09474132
Elite,141.3551492,31.01567386,5055.081648,345.4421371,0.444812906,58.51872303
Elite,205.9655379,32.79099978,5952.149848,429.9061235,0.45975,59.8581308
Exotic-der,283.9635102,35.60049964,7576.245349,629.7711429,0.44,60.73184601
Elite,297.1946515,28.19788542,10082.85637,543.3489357,0.4955,61.27175063
Elite,290.0434225,32.73741818,8411.25982,596.9247059,0.46675,63.15581505
Exotic-der,221.7938527,32.39679751,8900.438468,687.6144545,0.431939874,59.00927491
Exotic-der,433.1076813,36.70991869,11628.01586,922.4417975,0.45675,76.64657584
Exotic-der,455.1851596,36.45269424,12537.60056,936.688933,0.4825,80.03055013
Exotic-der,302.9302055,30.45207153,10025.19757,661.2366289,0.45525,64.8238585
Elite,267.5067012,35.29244273,7738.146781,584.1531045,0.457,61.72767709
Elite,220.4944116,35.43325816,6230.716857,512.6045179,0.424,56.62780879
Elite,330.3883898,33.06255263,10160.42434,700.5748663,0.4765,64.65348104
Exotic-der,216.0330474,33.51625476,6342.508048,459.119225,0.4615,59.47605213
Elite,256.7875513,33.77343885,7625.968103,546.9131464,0.4595,66.443723
Exotic-der,462.5022185,32.00067381,14369.52856,969.0948796,0.472,67.39078196
Exotic-der,438.1787449,40.23987156,10998.86924,882.6413564,0.49725,71.88865212
Exotic-der,417.5983861,37.92568283,11071.90073,912.6423321,0.4585,68.33894744
Exotic-der,424.3258541,37.08978351,11504.53241,892.8868842,0.479,64.27385451
Elite,335.0612428,33.39010943,9925.62279,688.7070521,0.4855,64.51326228
Exotic-der,430.909215,35.72460929,12048.96829,882.5020714,0.4925,62.46197749
Exotic-der,333.1645575,34.27090716,9810.134585,706.8077128,0.4755,61.2394064
Exotic-der,437.1813732,42.23542606,10412.15781,959.1744754,0.454,72.43478386
Exotic-der,331.5205793,35.01661269,9476.6771,706.5048644,0.47025,67.21373415
Exotic-der,416.6504002,37.33409086,11203.17671,866.4657636,0.48175,65.41054322
Elite,308.563719,32.45679338,9339.428346,660.1634928,0.453,63.07964836
Exotic-der,359.6745538,34.95903736,10105.86098,754.4451786,0.47825,73.1498728
Elite,339.8533862,40.98402834,8274.738803,712.0027261,0.46875,72.20170733
Elite,274.4773845,30.13595749,8957.215723,571.6006109,0.4755,56.88240067
Exotic-der,300.5544967,33.27239696,9166.058233,615.0903189,0.4915,65.83689867
Elite,283.2818885,34.31814157,8379.425778,628.4970324,0.45475,60.02507155
Exotic-der,373.3637488,37.52796088,10151.67453,839.9834039,0.4615,58.40915733
Elite,323.1745427,34.09677426,9714.655244,676.2330149,0.48025,60.70520704
Exotic-der,350.6010384,34.98714546,10354.85446,749.4719904,0.47975,55.53402564
Exotic-der,496.4190236,36.4261317,14046.52985,1051.910424,0.4755,68.7442777
Exotic-der,451.4322968,40.04787603,11634.98019,937.681674,0.48775,69.63136971
