Group,YLD,TGW,GM2,BM,HI,Height
Exotic-der,613.9230525,46.60849548,13106.64049,1644.983811,0.404050448,113.1743482
Elite,527.1285481,34.20062553,15407.39256,1247.391333,0.453734825,92.47848699
Elite,503.8847993,36.11448383,13997.64582,1206.119649,0.442279234,94.92664297
Elite,580.630016,44.30521251,13083.99135,1434.880712,0.456749499,100.3069861
Exotic-der,564.2961813,34.0579593,16672.83208,1178.441085,0.499203415,84.62019659
Elite,601.1250587,41.14838197,14563.03492,1359.120035,0.486584815,96.82873919
Elite,616.8547412,43.6680309,14155.22555,1351.133432,0.48922747,99.4416132
Elite,586.7167752,42.29289362,13834.75118,1348.627291,0.477791453,97.71034762
Elite,597.4843481,44.65600008,13381.64965,1271.0725,0.499366786,98.68114961
Elite,569.0109766,40.72636983,13999.79503,1258.269734,0.490114918,97.30056212
Elite,484.5498518,32.8541858,14853.76307,1225.386748,0.421347059,89.87922196
Elite,613.2972123,41.64458539,14714.95625,1333.044397,0.488747484,98.92652899
Elite,585.5915301,42.17243493,14029.36467,1242.384771,0.466730435,97.21574965
Elite,650.8182705,43.90856502,14812.46125,1388.562756,0.483106252,90.91784522
Exotic-der,552.8524988,42.72673181,12910.114,1419.476006,0.413596828,98.075788
Elite,531.3609069,35.96912961,14838.93292,1204.047964,0.481958728,98.18188596
Elite,606.4414549,39.79958637,15282.88384,1410.540803,0.460376483,94.37580205
Exotic-der,630.8324944,37.70339952,16685.17699,1379.914113,0.473201281,89.87945742
Exotic-der,585.571525,47.27138696,12363.00069,1525.831363,0.412128272,109.1140696
Exotic-der,539.9864472,42.58853474,12697.76266,1260.086704,0.449893784,103.4950522
Exotic-der,602.8943485,40.21781046,14992.58639,1512.871949,0.436986425,101.2256037
Elite,575.4970789,45.25077984,12710.87586,1298.558158,0.467358157,104.1891458
Elite,588.97176,43.38371257,13582.19153,1326.161664,0.459451926,95.56098833
Elite,591.2275806,41.0920265,14391.99398,1362.21545,0.470240764,95.48389628
