AAG,ACC,TCC,experiment
32.13142954,30.05467667,29.34220415,Heat Stress
31.19420289,30.23392926,29.88286017,Heat Stress
32.39893491,30.86027602,30.13571592,Heat Stress
32.73976456,31.33686632,30.431402,Heat Stress
33.01552617,30.3844845,30.3118065,Heat Stress
31.96412992,30.8206926,29.5511586,Heat Stress
33.28866472,31.12649545,30.25689054,Heat Stress
34.85624419,32.22046578,29.30685003,Heat Stress
32.37176994,33.14201448,29.98327063,Heat Stress
33.32801264,30.6753109,30.72941346,Heat Stress
32.26872519,31.21825906,29.9239117,Heat Stress
31.29479029,32.68060934,29.17309941,Heat Stress
30.41520747,29.92492176,30.2003619,Heat Stress
32.264539,30.13391898,31.53033522,Heat Stress
32.88869768,30.87333763,29.65625715,Heat Stress
31.42544929,,29.4915709,Heat Stress
32.06863099,,30.48843929,Heat Stress
32.33142032,,29.23225368,Heat Stress
30.45728338,,29.94902616,Heat Stress
30.58606023,,29.70517395,Heat Stress
31.53859638,,30.44837836,Heat Stress
31.95148864,,30.32562677,Heat Stress
31.26342541,,29.1549411,Heat Stress
30.53147477,,29.89718945,Heat Stress
31.60859959,,29.41621244,Heat Stress
31.2231011,,28.97877664,Heat Stress
31.63260359,,29.77232469,Heat Stress
31.59617522,,30.0153164,Heat Stress
33.12826402,,29.56198859,Heat Stress
32.29243226,,29.37678492,Heat Stress
31.38362908,,,Heat Stress
31.32375051,,,Heat Stress
31.13646195,,,Heat Stress
34.19907775,,,Heat Stress
30.95552432,,,Heat Stress
32.1138872,,,Heat Stress
31.81537655,,,Heat Stress
33.12204058,,,Heat Stress
30.48098415,,,Heat Stress
32.4042476,,,Heat Stress
31.89610148,,,Heat Stress
31.06260683,,,Heat Stress
31.56176039,,,Heat Stress
31.37697022,,,Heat Stress
31.35703982,,,Heat Stress
30.57366436,,,Heat Stress
32.6562232,,,Heat Stress
32.32148146,,,Heat Stress
32.61041242,,,Heat Stress
29.971314,,,Heat Stress
31.21392066,,,Heat Stress
31.84581817,,,Heat Stress
30.50020563,,,Heat Stress
32.71478848,,,Heat Stress
31.52903204,,,Heat Stress
30.39316514,,,Heat Stress
30.91355005,,,Heat Stress
32.3151119,,,Heat Stress
33.46097287,,,Heat Stress
31.16674475,,,Heat Stress
32.0752933,,,Heat Stress
