AAG,ACC,TCC,experiment
214.9383133,455.1851596,433.1076813,Heat Stress
296.8605132,302.9302055,438.1787449,Heat Stress
235.4395424,333.1645575,417.5983861,Heat Stress
154.4604288,331.5205793,424.3258541,Heat Stress
182.7820549,373.3637488,430.909215,Heat Stress
273.5387435,259.4813543,437.1813732,Heat Stress
172.8906224,383.5641661,416.6504002,Heat Stress
191.5248744,296.792152,496.4190236,Heat Stress
250.203849,159.4431935,451.4322968,Heat Stress
141.3551492,397.6898915,273.9835259,Heat Stress
205.9655379,254.1143213,339.0935697,Heat Stress
297.1946515,213.3427796,470.5418275,Heat Stress
290.0434225,356.3656674,369.6700578,Heat Stress
267.5067012,389.1874401,291.0883692,Heat Stress
220.4944116,394.1551739,493.7966347,Heat Stress
330.3883898,,459.1524848,Heat Stress
216.0330474,,253.7944937,Heat Stress
256.7875513,,404.807767,Heat Stress
359.6745538,,450.9012558,Heat Stress
339.8533862,,450.8310767,Heat Stress
274.4773845,,332.895234,Heat Stress
300.5544967,,390.1068526,Heat Stress
283.2818885,,405.4951714,Heat Stress
323.1745427,,405.781921,Heat Stress
306.4897153,,447.8964233,Heat Stress
186.8309005,,462.4109795,Heat Stress
186.6696276,,421.2344531,Heat Stress
183.2118735,,427.6727078,Heat Stress
128.9917431,,435.9793964,Heat Stress
181.5093451,,410.8535579,Heat Stress
139.8633196,,,Heat Stress
163.8396199,,,Heat Stress
332.9750086,,,Heat Stress
165.5186784,,,Heat Stress
385.3081972,,,Heat Stress
220.8235522,,,Heat Stress
276.4000129,,,Heat Stress
182.814219,,,Heat Stress
379.0190399,,,Heat Stress
286.483996,,,Heat Stress
265.8799669,,,Heat Stress
302.735238,,,Heat Stress
273.2307553,,,Heat Stress
276.6914964,,,Heat Stress
314.0479484,,,Heat Stress
312.2115841,,,Heat Stress
189.6337423,,,Heat Stress
252.1527693,,,Heat Stress
208.7269229,,,Heat Stress
405.5322817,,,Heat Stress
263.6170037,,,Heat Stress
169.7105891,,,Heat Stress
363.3198038,,,Heat Stress
230.8840627,,,Heat Stress
268.8443955,,,Heat Stress
327.0363649,,,Heat Stress
290.8926952,,,Heat Stress
261.2218087,,,Heat Stress
127.7520317,,,Heat Stress
301.6139358,,,Heat Stress
201.7423097,,,Heat Stress
319.4314671,,,Heat Stress
279.1740539,,,Heat Stress
239.8406929,,,Heat Stress
202.6152391,,,Heat Stress
213.343225,,,Heat Stress
250.1697514,,,Heat Stress
212.8801952,,,Heat Stress
229.9982729,,,Heat Stress
296.0324704,,,Heat Stress
383.9691594,,,Heat Stress
252.4378291,,,Heat Stress
332.4613027,,,Heat Stress
401.8192438,,,Heat Stress
250.2921316,,,Heat Stress
325.3142898,,,Heat Stress
190.6337706,,,Heat Stress
280.9216356,,,Heat Stress
272.1289448,,,Heat Stress
323.9285365,,,Heat Stress
330.7406715,,,Heat Stress
374.5510603,,,Heat Stress
362.59473,,,Heat Stress
306.604375,,,Heat Stress
286.1103968,,,Heat Stress
255.3961907,,,Heat Stress
306.3726864,,,Heat Stress
527.1285481,539.9864472,585.571525,Yield Potential
503.8847993,602.8943485,590.7545148,Yield Potential
601.1250587,637.5821481,625.7564144,Yield Potential
616.8547412,590.8709896,614.4882016,Yield Potential
586.7167752,580.6791827,644.7322891,Yield Potential
597.4843481,571.9173507,599.8554719,Yield Potential
569.0109766,612.3098838,615.5146172,Yield Potential
484.5498518,620.0560864,557.3718896,Yield Potential
613.2972123,567.782021,620.1678265,Yield Potential
585.5915301,623.3535545,602.5445262,Yield Potential
650.8182705,606.8278149,592.4821543,Yield Potential
531.3609069,554.1669555,521.7043139,Yield Potential
606.4414549,614.1875495,551.028693,Yield Potential
575.4970789,561.6417544,596.5307143,Yield Potential
588.97176,582.4566728,621.7785017,Yield Potential
591.2275806,,576.2048903,Yield Potential
705.2299656,,561.8271359,Yield Potential
683.2829889,,550.0831558,Yield Potential
536.6511825,,585.5186653,Yield Potential
685.5685794,,569.2638712,Yield Potential
580.7904101,,588.7829568,Yield Potential
561.9468026,,564.344767,Yield Potential
582.5217224,,590.9845992,Yield Potential
638.3686695,,575.3532525,Yield Potential
