Taxa	ped_hist_full	6D-6276646_MAF_split	YLD_Heat	BM_Heat	TGW_Heat	GM2_Heat	SM2_Heat	Height_Heat	NDVIvg_AV_Heat	CTvg_AV_Heat	HI_Heat	DTH_Heat
HiBAP_2	1	2	450.6456233	998.2084376	35.37842938	12636.28147	272.6406056	75.33285407	0.690051049	28.45517188	0.445225	55.5
HiBAP_3	1	1	214.8546611	444.5624852	28.14656466	7450.720488	210.8025704	49.24691305	0.489869776	32.13142954	0.470675	46.75
HiBAP_4	1	1	297.1205585	661.0729095	26.99544823	10760.74602	306.4719311	60.61401105	0.567543446	31.19420289	0.4476	53.5
HiBAP_5	1	2	359.9928722	780.4047382	31.34760836	11427.62496	325.1921087	61.11120365	0.600206003	30.73870876	0.4615	53.5
HiBAP_6	1	1	211.1732348	472.6259264	30.89524975	6462.015658	220.978105	54.41258192	0.532007429	31.86599965	0.45315	53.5
HiBAP_7	1	1	235.4852885	491.0229632	30.68220444	7476.171413	213.8556003	56.07757607	0.522545366	32.39893491	0.469	52.5
HiBAP_8	1	1	154.6028505	361.1201622	34.91415387	4376.810963	162.3031034	60.86770663	0.502261397	32.73976456	0.4215	54.25
HiBAP_9	1	1	182.7139895	422.3966892	29.73635583	6170.152159	203.0588786	57.15427232	0.490833266	33.01552617	0.446775	55
HiBAP_10	1	1	273.7049002	570.8972304	37.20622743	7417.438555	205.3130456	63.34700714	0.556746464	31.96412992	0.4841	48.5
HiBAP_11	1	1	172.7687663	344.7519516	31.41098891	5213.834889	161.5938027	60.41531817	0.499901158	33.28866472	0.4736	54.5
HiBAP_12	1	1	191.3486249	392.0395492	24.30524054	7486.858938	288.0093368	46.89111178	0.422351529	34.85624419	0.4641	51.75
HiBAP_13	1	1	250.1732426	493.3694185	30.62329043	7552.023655	239.9196265	59.16388904	0.526859432	32.37176994	0.480275	54.5
HiBAP_14	1	1	141.4226356	345.6044042	31.01440333	5055.099516	169.3728573	58.509903	0.48235171	33.32801264	0.444815857	56.5
HiBAP_15	1	1	205.9816334	429.9504543	32.79219456	5952.15666	202.02855	59.76901375	0.543391947	32.26872519	0.459675	54.25
HiBAP_16	1	1	283.9031219	629.823195	35.57512634	7576.529208	225.7568303	60.83272567	0.546032712	31.75421592	0.441375	55.25
HiBAP_17	1	1	296.9978214	543.4170804	28.18524513	10082.84584	264.1116718	61.2788832	0.58681329	31.29479029	0.49555	57.25
HiBAP_18	1	1	289.9614189	596.8543524	32.72460534	8411.304135	242.6418919	63.17322018	0.622510616	30.41520747	0.465525	57.25
HiBAP_19	1	1	221.654208	687.7248196	32.38426812	8900.203712	253.6969564	59.12331427	0.542015023	31.97644507	0.432016707	61.5
HiBAP_20	1	2	433.1238801	922.4631304	36.70064904	11627.84553	283.2905552	76.68751077	0.664808466	29.34220415	0.4578	55
HiBAP_21	4	1	455.2392087	936.7903562	36.43998846	12537.53692	309.9681144	80.04219453	0.628432622	30.05467667	0.483525	49.75
HiBAP_22	2	1	302.831766	661.1799163	30.44382517	10025.27356	266.1821393	64.71914999	0.631524788	30.23392926	0.456275	52.25
HiBAP_23	1	1	267.5531648	584.1858359	35.26839606	7738.285011	217.8282369	61.73245581	0.510877566	32.264539	0.456325	51.5
HiBAP_24	1	1	220.5635924	512.6792537	35.42174008	6230.859944	242.4449736	56.71798814	0.4967284	32.88869768	0.423175	49
HiBAP_25	1	1	330.4266754	700.6014771	33.03826766	10160.30161	252.0715039	64.67519063	0.554524777	31.42544929	0.476425	50.5
HiBAP_26	1	1	216.1266143	459.0143745	33.50412588	6342.488738	183.6262671	59.45960203	0.527738608	32.06863099	0.46195	54.25
HiBAP_27	1	1	256.7601736	546.8033843	33.76046961	7626.22637	211.0116389	66.46103755	0.502948544	32.33142032	0.45915	48
HiBAP_28	3	1	462.5530725	969.1081849	31.97964858	14369.51344	394.730592	67.38938713	0.683733703	29.15640162	0.472425	54.5
HiBAP_29	4	2	438.3164221	882.6037399	40.2299227	10998.85793	303.9629058	71.92912679	0.631912936	29.88286017	0.496375	51
HiBAP_30	3	2	417.76496	912.5727981	37.90228998	11071.77966	301.1554383	68.39076541	0.601804144	30.13571592	0.45765	52
HiBAP_31	3	2	424.3389468	892.8700382	37.0629499	11504.71236	312.5509994	64.18083509	0.602339727	30.431402	0.477875	53
HiBAP_32	1	1	335.0286946	688.6825531	33.37824113	9925.739161	280.4126426	64.53994584	0.551274847	31.13295521	0.485775	53.25
HiBAP_33	3	2	430.7215831	882.5550937	35.7236729	12048.85256	327.1990479	62.50365776	0.602441439	30.3118065	0.493175	53
