Taxa	ped_hist_full	6D-6276646_MAF_split	YLD	BM	TGW	GM2	SM2	Height	NDVIvg_AV	CTvg_AV	HI	DTH
HiBAP_2	1	2	613.9230525	1644.983811	46.60849548	13106.64049	303.7517189	113.1743482	0.798177	24.359031	0.404050448	79.875
HiBAP_3	1	1	527.1285481	1247.391333	34.20062553	15407.39256	310.4875379	92.47848699	0.788987	24.79868	0.453734825	75.125
HiBAP_4	1	1	503.8847993	1206.119649	36.11448383	13997.64582	334.7352645	94.92664297	0.805777	24.654518	0.442279234	78.875
HiBAP_5	1	2	580.630016	1434.880712	44.30521251	13083.99135	310.4611632	100.3069861	0.807066	24.604182	0.456749499	75.875
HiBAP_6	1	1	564.2961813	1178.441085	34.0579593	16672.83208	330.5324341	84.62019659	0.795099	24.773368	0.499203415	78.75
HiBAP_7	1	1	601.1250587	1359.120035	41.14838197	14563.03492	317.0306592	96.82873919	0.80046	24.577268	0.486584815	76.875
HiBAP_8	1	1	616.8547412	1351.133432	43.6680309	14155.22555	286.2096445	99.4416132	0.804701	24.540529	0.48922747	78.375
HiBAP_9	1	1	586.7167752	1348.627291	42.29289362	13834.75118	333.810217	97.71034762	0.794934	24.910954	0.477791453	78.375
HiBAP_10	1	1	597.4843481	1271.0725	44.65600008	13381.64965	261.709255	98.68114961	0.802607	24.465282	0.499366786	72.75
HiBAP_11	1	1	569.0109766	1258.269734	40.72636983	13999.79503	296.9829953	97.30056212	0.800565	24.688145	0.490114918	77.25
HiBAP_12	1	1	484.5498518	1225.386748	32.8541858	14853.76307	408.8157123	89.87922196	0.788669	25.222885	0.421347059	74.375
HiBAP_13	1	1	613.2972123	1333.044397	41.64458539	14714.95625	335.2227796	98.92652899	0.801207	24.513797	0.488747484	78.125
HiBAP_14	1	1	585.5915301	1242.384771	42.17243493	14029.36467	267.4204283	97.21574965	0.794066	24.672863	0.466730435	77.5
HiBAP_15	1	1	650.8182705	1388.562756	43.90856502	14812.46125	311.1495767	90.91784522	0.80587	24.475363	0.483106252	79.375
HiBAP_16	1	1	552.8524988	1419.476006	42.72673181	12910.114	278.5077146	98.075788	0.7969	24.657462	0.413596828	80.5
HiBAP_17	1	1	531.3609069	1204.047964	35.96912961	14838.93292	325.7157238	98.18188596	0.806983	24.496004	0.481958728	81.5
HiBAP_18	1	1	606.4414549	1410.540803	39.79958637	15282.88384	353.639505	94.37580205	0.810922	24.242986	0.460376483	80.75
HiBAP_19	1	1	630.8324944	1379.914113	37.70339952	16685.17699	273.6070206	89.87945742	0.783385	25.266147	0.473201281	85.20083767
HiBAP_20	1	2	585.571525	1525.831363	47.27138696	12363.00069	288.5317096	109.1140696	0.794981	24.362842	0.412128272	79.125
HiBAP_21	4	1	539.9864472	1260.086704	42.58853474	12697.76266	278.2466351	103.4950522	0.810392	24.33054	0.449893784	74
HiBAP_22	2	1	602.8943485	1512.871949	40.21781046	14992.58639	314.2737573	101.2256037	0.813081	24.258881	0.436986425	80.25
HiBAP_23	1	1	575.4970789	1298.558158	45.25077984	12710.87586	252.1485421	104.1891458	0.802365	24.242697	0.467358157	73.75
HiBAP_24	1	1	588.97176	1326.161664	43.38371257	13582.19153	346.1611968	95.56098833	0.79867	24.664782	0.459451926	71.5
HiBAP_25	1	1	591.2275806	1362.21545	41.0920265	14391.99398	323.1237389	95.48389628	0.804267	24.454891	0.470240764	76.625
HiBAP_26	1	1	705.2299656	1600.726057	45.83717567	15324.44292	317.8519799	104.5184037	0.805244	24.532353	0.460938312	79
HiBAP_27	1	1	683.2829889	1423.488815	43.8160049	15580.99254	307.52322	104.264684	0.799124	24.633376	0.486571494	73.75
HiBAP_28	3	1	555.3871896	1327.747162	38.95506449	14320.7022	342.1422662	98.70212478	0.815607	24.298825	0.44955991	78.5
HiBAP_29	4	2	590.7545148	1356.491504	48.01089674	12304.1266	276.1442025	104.3114193	0.801364	24.486556	0.471744001	72.75
HiBAP_30	3	2	625.7564144	1436.021503	45.61827395	13766.00322	287.8490259	98.61686944	0.801054	24.448048	0.460369769	77
HiBAP_31	3	2	614.4882016	1413.031585	48.75174163	12601.00806	275.8638047	101.4615383	0.798402	24.556995	0.467890062	77.25
HiBAP_32	1	1	602.929282	1442.883492	44.08442061	13664.69642	330.1273024	104.2676106	0.811705	24.335688	0.446183825	75.25
HiBAP_33	3	2	644.7322891	1421.337148	44.81656945	14360.47174	339.6170676	100.7648389	0.789973	24.656986	0.480924871	75.25
HiBAP_34	4	2	637.5821481	1421.621552	44.57986685	14304.34727	286.711168	96.9500086	0.790166	24.563966	0.478371788	75
HiBAP_35	3	2	599.8554719	1420.110478	50.66229631	11843.47456	276.8756057	103.2144345	0.807803	24.36589	0.450535269	77
